+------------------------------------------------------------------------------------------------------+----------------------------------------------------+------------------------------------------------------------------+
| Δραστική Ουσία                                                                                       | Αριθμός Αλλεργικών Ασθενών                         | Αριθμός Φαρμάκων που την περιέχουν                               |
| Vilobelimab                                                                                          |                                                  0 |                                                                4 |
| Vimseltinib                                                                                          |                                                  0 |                                                                4 |
| Vinblastine Sulfate                                                                                  |                                                  0 |                                                               23 |
| Vinburnine                                                                                           |                                                  0 |                                                                2 |
| Vincamine                                                                                            |                                                  0 |                                                                4 |
| Vincetoxicum Hirundinaria D8                                                                         |                                                  0 |                                                                1 |
| Vincetoxicum Hirundinaria Trit. D5                                                                   |                                                  0 |                                                                1 |
| Vincristine Sulfate                                                                                  |                                                  0 |                                                               30 |
| Vindesine Sulfate                                                                                    |                                                  0 |                                                                6 |
| Vinflunine                                                                                           |                                                  0 |                                                                4 |
| Vinorelbine                                                                                          |                                                  0 |                                                              105 |
| Vinorelbine Tartrate                                                                                 |                                                  0 |                                                               45 |
| Vinpocetine                                                                                          |                                                  0 |                                                               65 |
| Viola Arvensis                                                                                       |                                                  0 |                                                                2 |
| Viola Tricolor                                                                                       |                                                  0 |                                                                1 |
| Viola Tricolor Trit. D3                                                                              |                                                  0 |                                                                1 |
| Violae Tricoloris Herba                                                                              |                                                  0 |                                                                2 |
| Viper Antivenom                                                                                      |                                                  0 |                                                                1 |
| Vipera Ammodytes Venom Antiserum                                                                     |                                                  0 |                                                                1 |
| Vipera Berus Dil. D12                                                                                |                                                  0 |                                                                4 |
| Visci Herba                                                                                          |                                                  0 |                                                                3 |
| Viscum Album                                                                                         |                                                  0 |                                                                3 |
| Viscum Album (Abietis) E Planta Tota K Dil. St?rke H (Hab                                            |                                                  0 |                                                                0 |
| Viscum Album (Mali) E Planta Tota K Dil. St?rke H (Hab                                               |                                                  0 |                                                                0 |
| Viscum Album (Pini) E Planta Tota K Dil. St?rke H (Hab                                               |                                                  0 |                                                                0 |
| Viscum Album (Populi) E Planta Tota K Dil. St?rke H (Hab                                             |                                                  0 |                                                                0 |
| Viscum Album (Tiliae) E Planta Tota Ferm 33f Dil. D3 (Hab                                            |                                                  0 |                                                                1 |
| Viscum Album (Tiliae) E Planta Tota Ferm 33f Dil. D5 (Hab                                            |                                                  0 |                                                                1 |
| Viscum Album (Tiliae) E Planta Tota K Dil. St?rke H (Hab                                             |                                                  0 |                                                                0 |
| Viscum Album Abietis Ex Herba Recente Col. D10                                                       |                                                  0 |                                                                1 |
| Viscum Album Abietis Ex Herba Recente Col. D20                                                       |                                                  0 |                                                                1 |
| Viscum Album Abietis Ex Herba Recente Col. D30                                                       |                                                  0 |                                                                1 |
| Viscum Album Abietis Ex Herba Recente Col. D6                                                        |                                                  0 |                                                                1 |
| Viscum Album Aceris Ex Herba Recente Col. D10                                                        |                                                  0 |                                                                1 |
| Viscum Album Aceris Ex Herba Recente Col. D30                                                        |                                                  0 |                                                                1 |
| Viscum Album Aceris Ex Herba Recente Col. D6                                                         |                                                  0 |                                                                1 |
| Viscum Album Amygdali Ex Herba Recente Col. D10                                                      |                                                  0 |                                                                1 |
| Viscum Album Amygdali Ex Herba Recente Col. D20                                                      |                                                  0 |                                                                1 |
| Viscum Album Amygdali Ex Herba Recente Col. D30                                                      |                                                  0 |                                                                1 |
| Viscum Album Amygdali Ex Herba Recente Col. D6                                                       |                                                  0 |                                                                1 |
| Viscum Album Betulae Ex Herba Recente Col. D10                                                       |                                                  0 |                                                                1 |
| Viscum Album Betulae Ex Herba Recente Col. D20                                                       |                                                  0 |                                                                1 |
| Viscum Album Betulae Ex Herba Recente Col. D30                                                       |                                                  0 |                                                                1 |
| Viscum Album Betulae Ex Herba Recente Col. D6                                                        |                                                  0 |                                                                1 |
| Viscum Album Crataegi Ex Herba Recente Col. D10                                                      |                                                  0 |                                                                1 |
| Viscum Album Crataegi Ex Herba Recente Col. D20                                                      |                                                  0 |                                                                1 |
| Viscum Album Crataegi Ex Herba Recente Col. D30                                                      |                                                  0 |                                                                1 |
| Viscum Album Crataegi Ex Herba Recente Col. D6                                                       |                                                  0 |                                                                1 |
| Viscum Album Dil. D3                                                                                 |                                                  0 |                                                                2 |
| Viscum Album Fraxini Ex Herba Recente Col. D10                                                       |                                                  0 |                                                                1 |
| Viscum Album Fraxini Ex Herba Recente Col. D20                                                       |                                                  0 |                                                                1 |
| Viscum Album Fraxini Ex Herba Recente Col. D30                                                       |                                                  0 |                                                                1 |
| Viscum Album Fraxini Ex Herba Recente Col. D6                                                        |                                                  0 |                                                                1 |
| Viscum Album Herba                                                                                   |                                                  0 |                                                                1 |
| Viscum Album M                                                                                       |                                                  0 |                                                                3 |
| Viscum Album M C Arg                                                                                 |                                                  0 |                                                                1 |
| Viscum Album M C Cu                                                                                  |                                                  0 |                                                                1 |
| Viscum Album M C Hg                                                                                  |                                                  0 |                                                                1 |
| Viscum Album Mali Ex Herba Recente Col. D10                                                          |                                                  0 |                                                                1 |
| Viscum Album Mali Ex Herba Recente Col. D20                                                          |                                                  0 |                                                                1 |
| Viscum Album Mali Ex Herba Recente Col. D30                                                          |                                                  0 |                                                                1 |
| Viscum Album Mali Ex Herba Recente Col. D6                                                           |                                                  0 |                                                                1 |
| Viscum Album Mother Tincture                                                                         |                                                  0 |                                                               11 |
| Viscum Album P                                                                                       |                                                  0 |                                                                3 |
| Viscum Album P C Hg                                                                                  |                                                  0 |                                                                1 |
| Viscum Album Pini Ex Herba Recente Col. D10                                                          |                                                  0 |                                                                1 |
| Viscum Album Pini Ex Herba Recente Col. D20                                                          |                                                  0 |                                                                1 |
| Viscum Album Pini Ex Herba Recente Col. D30                                                          |                                                  0 |                                                                1 |
| Viscum Album Pini Ex Herba Recente Col. D6                                                           |                                                  0 |                                                                1 |
| Viscum Album Qu                                                                                      |                                                  0 |                                                                2 |
| Viscum Album Qu C Arg                                                                                |                                                  0 |                                                                1 |
| Viscum Album Qu C Cu                                                                                 |                                                  0 |                                                                1 |
| Viscum Album Qu C Hg                                                                                 |                                                  0 |                                                                1 |
| Viscum Album Quercus Ex Herba Recente Col. D10                                                       |                                                  0 |                                                                1 |
| Viscum Album Quercus Ex Herba Recente Col. D20                                                       |                                                  0 |                                                                1 |
| Viscum Album Quercus Ex Herba Recente Col. D30                                                       |                                                  0 |                                                                1 |
| Viscum Album Quercus Ex Herba Recente Col. D6                                                        |                                                  0 |                                                                1 |
| Viscum Album Spag. Peka ?                                                                            |                                                  0 |                                                                0 |
| Viscum Album Subsp. Album                                                                            |                                                  0 |                                                                2 |
| Viscum Album Subsp. Austriacum                                                                       |                                                  0 |                                                                1 |
| Viscum Album U C Hg                                                                                  |                                                  0 |                                                                1 |
| Vismodegib                                                                                           |                                                  0 |                                                                4 |
| Vitamin A Concentrate (Oily Form)                                                                    |                                                  0 |                                                               10 |
| Vitamin B12                                                                                          |                                                  0 |                                                                3 |
| Vitamin D                                                                                            |                                                  0 |                                                                2 |
| Vitex Agnus-Castus                                                                                   |                                                  0 |                                                                3 |
| Vitex Agnus-Castus Fruit Dry Extract                                                                 |                                                  0 |                                                                2 |
| Vitex Agnus-Castus Fruit Dry Extract (7 - 13 : 1)                                                    |                                                  0 |                                                                8 |
| Vitex Agnus-Castus Mother Tincture                                                                   |                                                  0 |                                                                2 |
| Vitis Vinifera Leaf Soft Extract (Der 2.5 - 4:1)                                                     |                                                  0 |                                                                1 |
| Vitis Viniferae Folii Extractum Aquosum Siccum (4?6:1)                                               |                                                  0 |                                                                0 |
| Voclosporin                                                                                          |                                                  0 |                                                                4 |
| Volanesorsen Sodium                                                                                  |                                                  0 |                                                                4 |
| Vonicog Alfa                                                                                         |                                                  0 |                                                                4 |
| Vorasidenib                                                                                          |                                                  0 |                                                                4 |
| Voretigene Neparvovec                                                                                |                                                  0 |                                                                4 |
| Voriconazole                                                                                         |                                                  0 |                                                              281 |
| Vortioxetine                                                                                         |                                                  0 |                                                               76 |
| Vortioxetine (D                                                                                      |                                                  0 |                                                                3 |
| Vortioxetine Hydrobromide                                                                            |                                                  0 |                                                               22 |
| Vosoritide                                                                                           |                                                  0 |                                                                4 |
| Voxelotor                                                                                            |                                                  0 |                                                                4 |
| Vutrisiran                                                                                           |                                                  0 |                                                                4 |
| W?ssriger Gesamtauszug Aus Enzianwurzel (0                                                           |                                                  0 |                                                                0 |
| Wall Pellitory                                                                                       |                                                  0 |                                                                2 |
| Warfarin Sodium                                                                                      |                                                  0 |                                                               46 |
| Warfarin Sodium Clathrate                                                                            |                                                  0 |                                                                7 |
| Wasp Venom                                                                                           |                                                  0 |                                                                3 |
| Wasp Venom (Polistes Spp)                                                                            |                                                  0 |                                                                1 |
| Wasp Venom (Vespula Spp)                                                                             |                                                  0 |                                                                4 |
| Water                                                                                                |                                                  0 |                                                               18 |
| Water For Injection                                                                                  |                                                  0 |                                                              444 |
| Water For Injection - Bp                                                                             |                                                  0 |                                                                1 |
| Weed And Shrub Pollen Mixture                                                                        |                                                  0 |                                                                1 |
| Wheat Flour                                                                                          |                                                  0 |                                                               30 |
| Wheat Grain                                                                                          |                                                  0 |                                                                1 |
| Wheat-Germ Oil                                                                                       |                                                  0 |                                                                3 |
| White Beeswax                                                                                        |                                                  0 |                                                                1 |
| White Cabbage                                                                                        |                                                  0 |                                                                1 |
| Whiting                                                                                              |                                                  0 |                                                                7 |
| Wholewheat Flour                                                                                     |                                                  0 |                                                               11 |
| Wild Pansy (Flowering Aerial Parts)                                                                  |                                                  0 |                                                                1 |
| Willow Bark                                                                                          |                                                  0 |                                                               25 |
| Willow Pollen                                                                                        |                                                  0 |                                                                5 |
| Wool Alcohols                                                                                        |                                                  0 |                                                               15 |
| Wool Alcohols Ointment                                                                               |                                                  0 |                                                                1 |
| Xanthium Strumarium L.                                                                               |                                                  0 |                                                               21 |
| Xenon                                                                                                |                                                  0 |                                                                1 |
| Xibornol                                                                                             |                                                  0 |                                                                1 |
| Xipamide                                                                                             |                                                  0 |                                                                6 |
| Xylene                                                                                               |                                                  0 |                                                                4 |
| Xylometazoline Hydrochloride                                                                         |                                                  0 |                                                              510 |
| Xysmalobium Undulatum Root Dry Extract (4-6:1)                                                       |                                                  0 |                                                                1 |
| Yellow Fever Virus Strain 17d-204 (Live                                                              |                                                  0 |                                                               27 |
| Yellow Soft Paraffin Bp                                                                              |                                                  0 |                                                                1 |
| Yohimbine Hydrochloride                                                                              |                                                  0 |                                                                6 |
| Yttrium (90y) Citrate                                                                                |                                                  0 |                                                               10 |
| Yttrium-90                                                                                           |                                                  0 |                                                                5 |
| Zaleplon                                                                                             |                                                  0 |                                                                1 |
| Zanamivir                                                                                            |                                                  0 |                                                               34 |
| Zanidatamab                                                                                          |                                                  0 |                                                                4 |
| Zanubrutinib                                                                                         |                                                  0 |                                                                3 |
| Zapomeran                                                                                            |                                                  0 |                                                                4 |
| Zea Mays                                                                                             |                                                  0 |                                                                2 |
| Zea Mays L.                                                                                          |                                                  0 |                                                               49 |
| Ziconotide                                                                                           |                                                  0 |                                                                1 |
| Zidovudine                                                                                           |                                                  0 |                                                               82 |
| Zilucoplan                                                                                           |                                                  0 |                                                                4 |
| Zinc                                                                                                 |                                                  0 |                                                               33 |
| Zinc Acetate Dihydrate                                                                               |                                                  0 |                                                              190 |
| Zinc Acexamate                                                                                       |                                                  0 |                                                                1 |
| Zinc Chloride                                                                                        |                                                  0 |                                                              126 |
| Zinc Dibenzyldithiocarbamate                                                                         |                                                  0 |                                                                1 |
| Zinc Diethyldithiocarbamate                                                                          |                                                  0 |                                                               14 |
| Zinc Gluconate                                                                                       |                                                  0 |                                                               58 |
| Zinc Gluconate Trihydrate                                                                            |                                                  0 |                                                                2 |
| Zinc Histidine Dihydrate                                                                             |                                                  0 |                                                                1 |
| Zinc Hydroaspartate Dihydrate                                                                        |                                                  0 |                                                                2 |
| Zinc Orotate                                                                                         |                                                  0 |                                                                2 |
| Zinc Orotate Dihydrate                                                                               |                                                  0 |                                                                7 |
| Zinc Oxide                                                                                           |                                                  0 |                                                              181 |
| Zinc Oxide Bp                                                                                        |                                                  0 |                                                                8 |
| Zinc Oxide Pheur                                                                                     |                                                  0 |                                                                5 |
| Zinc Sulphate                                                                                        |                                                  0 |                                                               20 |
| Zinc Sulphate Heptahydrate                                                                           |                                                  0 |                                                              175 |
| Zinc Sulphate Monohydrate                                                                            |                                                  0 |                                                               12 |
| Zinc Trisodium Pentetate                                                                             |                                                  0 |                                                                1 |
| Zinc Undecylenate                                                                                    |                                                  0 |                                                                3 |
| Zinc-Bis(Hydrogen-Dl-Aspartate)                                                                      |                                                  0 |                                                                3 |
| Zincum Chloratum D12                                                                                 |                                                  0 |                                                                4 |
| Zincum Chloratum D6                                                                                  |                                                  0 |                                                                1 |
| Zincum Chloratum Trit. D12                                                                           |                                                  0 |                                                                1 |
| Zincum Isovalerianicum D 8                                                                           |                                                  0 |                                                                1 |
| Zincum Isovalerianicum D30                                                                           |                                                  0 |                                                                1 |
| Zincum Isovalerianicum D4                                                                            |                                                  0 |                                                               18 |
| Zincum Isovalerianicum Dil. D12                                                                      |                                                  0 |                                                                2 |
| Zincum Isovalerianicum Dil. D3                                                                       |                                                  0 |                                                                2 |
| Zincum Isovalerianicum Dil. D4                                                                       |                                                  0 |                                                                1 |
| Zincum Metallicum Dil. D10                                                                           |                                                  0 |                                                                3 |
| Zincum Metallicum Dil. D6                                                                            |                                                  0 |                                                                1 |
| Zincum Metallicum Dil. D8                                                                            |                                                  0 |                                                               12 |
| Zincum Valerianicum D4                                                                               |                                                  0 |                                                                3 |
| Zincum Valerianicum Dil. D3                                                                          |                                                  0 |                                                                5 |
| Zingiber Officinale (Ginger) Root                                                                    |                                                  0 |                                                                1 |
| Zingiber Officinale D3                                                                               |                                                  0 |                                                                2 |
| Zinnober Trit. D6                                                                                    |                                                  0 |                                                                2 |
| Ziprasidone                                                                                          |                                                  0 |                                                               82 |
| Ziprasidone Hydrochloride Monohydrate                                                                |                                                  0 |                                                                1 |
| Zofenopril                                                                                           |                                                  0 |                                                                1 |
| Zofenopril Calcium                                                                                   |                                                  0 |                                                               59 |
| Zolbetuximab                                                                                         |                                                  0 |                                                                4 |
| Zoledronic Acid                                                                                      |                                                  0 |                                                              104 |
| Zoledronic Acid Monohydrate                                                                          |                                                  0 |                                                              123 |
| Zolmitriptan                                                                                         |                                                  0 |                                                              132 |
| Zolpidem                                                                                             |                                                  0 |                                                                4 |
| Zolpidem Hemitartrate                                                                                |                                                  0 |                                                               10 |
| Zolpidem Tartrate                                                                                    |                                                  0 |                                                              205 |
| Zolpidem Tartrate Ph. Eur.                                                                           |                                                  0 |                                                                1 |
| Zonisamide                                                                                           |                                                  0 |                                                               87 |
| Zopiclone                                                                                            |                                                  0 |                                                              158 |
